MEASUREMENT_CONCEPT_ID,MEASUREMENT_CONCEPT_NAME,UNIT_CONCEPT_ID,UNIT_CONCEPT_NAME,UNIT_CONCEPT_CODE
3015183,Erythrocyte sedimentation rate,8588,millimeter,mm
3015183,Erythrocyte sedimentation rate,8752,millimeter per hour,mm/h
3015377,Calcium [Moles/volume] in Serum or Plasma,8840,milligram per deciliter,mg/dL
3015481,Prolactin [Mass/volume] in Serum or Plasma by Immunoassay,8842,nanogram per milliliter,ng/mL
3015632,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",8736,nanomole per liter,nmol/L
3015632,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",8753,millimole per liter,mmol/L
3015632,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",8840,milligram per deciliter,mg/dL
3015632,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",9551,milliequivalent,10*-3.eq
3015632,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",9557,milliequivalent per liter,10*-3.eq/L
3015813,Cardiolipin IgM Ab [Units/volume] in Serum by Immunoassay,9101,IgM phospholipid unit,[MPL'U]
3015813,Cardiolipin IgM Ab [Units/volume] in Serum by Immunoassay,9158,IgM phospholipid unit per milliliter,[MPL'U]/mL
3015956,Eosinophils/100 leukocytes in Blood by Manual count,8554,percent,%
3015956,Eosinophils/Leukocytes in Blood by Manual count,8554,percent,%
3016080,Myeloperoxidase Ab [Presence] in Serum,8980,arbitrary unit per milliliter,[arb'U]/mL
3016407,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,8840,milligram per deciliter,mg/dL
3016436,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,8645,unit per liter,[U]/L
3016436,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,8923,international unit per liter,[iU]/L
3016502,Oxygen saturation in Arterial blood,8554,percent,%
3016628,Fibrinogen Ag [Mass/volume] in Platelet poor plasma by Immunoassay,8840,milligram per deciliter,mg/dL
3016723,Creatinine [Mass/volume] in Serum or Plasma,8749,micromole per liter,umol/L
3016723,Creatinine [Mass/volume] in Serum or Plasma,8751,milligram per liter,mg/L
3016723,Creatinine [Mass/volume] in Serum or Plasma,8753,millimole per liter,mmol/L
3016723,Creatinine [Mass/volume] in Serum or Plasma,8840,milligram per deciliter,mg/dL
3016921,Smith extractable nuclear Ab [Units/volume] in Serum,8478,avidity index,{ai}
3016921,Smith extractable nuclear Ab [Units/volume] in Serum,8510,unit,[U]
3016921,Smith extractable nuclear Ab [Units/volume] in Serum,8590,O.D. unit,[OD'U]
3017044,Thyrotropin receptor Ab [Units/volume] in Serum,8738,percent inhibition,%{inhibition}
