ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
21601387	1301567	4	4
21601387	1301601	4	5
21601387	1301603	4	4
21601387	1301683	3	3
21601387	1301684	4	4
21601387	1301687	4	5
21601387	1301688	5	6
21601387	1301695	4	4
21601387	1301697	4	4
21601387	1301698	5	6
21601387	1301962	5	6
21601387	1302027	4	5
21601387	1302032	4	5
21601387	1302320	5	6
21601387	1302336	5	6
21601387	1302338	5	6
21601387	1302339	5	6
21601387	1302382	5	6
21601387	1305058	3	3
21601387	1305083	5	6
21601387	1305123	5	6
21601387	1305131	4	4
21601387	1309242	5	6
21601387	1309244	5	6
21601387	1310343	4	4
21601387	1311104	5	6
21601387	1311105	5	6
21601387	1311108	4	4
21601387	1311443	3	3
21601387	1311825	4	4
21601387	1314865	3	3
21601387	1315944	5	6
21601387	1318011	3	3
21601387	1319193	3	3
21601387	1329241	3	3
21601387	1333372	5	6
21601387	1333379	3	3
21601387	1336541	5	6
21601387	1336623	4	4
21601387	1336627	5	6
21601387	1337645	4	4
21601387	1337646	4	4
21601387	1338512	3	3
21601387	1341150	5	6
21601387	1341173	5	6
21601387	1341181	4	4
21601387	1344357	4	4
21601387	1344905	3	3
21601387	1344908	4	4
21601387	1344909	5	6
21601387	1350066	3	3
21601387	1350068	5	6
21601387	1350544	4	4
21601387	1351802	4	4
21601387	1355713	4	5
21601387	1355717	4	4
21601387	1355722	4	5
21601387	1355780	5	6
21601387	1355791	5	6
21601387	1355802	4	4
21601387	1355996	5	6
21601387	1355999	4	5
21601387	1356362	4	4
21601387	1356366	4	4
21601387	1356367	4	5
21601387	1356370	5	6
21601387	1356443	5	6
21601387	1356445	5	6
21601387	1358465	5	6
21601387	1361175	5	6
21601387	1361192	4	4
21601387	1361269	4	4
21601387	1361272	5	6
21601387	1361407	4	5
21601387	1361447	4	4
21601387	1361454	4	5
21601387	1361457	5	6
21601387	1361644	6	7
21601387	1363390	5	6
21601387	1366686	4	5
21601387	1366692	5	6
21601387	1366763	5	6
21601387	1368824	5	6
21601387	1377167	5	6
21601387	1377169	5	6
21601387	1378382	3	3
21601387	1378532	5	6
21601387	1378534	5	6
21601387	1378537	5	6
21601387	1381253	3	3
21601387	1381256	4	4
21601387	1381258	5	6
21601387	1387104	3	3
21601387	1389036	3	3
21601387	1390064	5	6
21601387	1390067	4	4
21601387	1391849	5	6
21601387	1396434	4	4
21601387	1396435	4	5
21601387	1396440	5	6
21601387	1396445	4	4
21601387	1396446	5	6
21601387	1396447	4	4
21601387	1396451	5	6
21601387	1396487	4	4
21601387	1396729	3	3
21601387	1396733	4	5
21601387	1396739	5	6
21601387	1396746	4	4
21601387	1396747	5	6
21601387	1396751	6	7
21601387	1396752	6	7
21601387	1397141	3	3
21601387	1397599	3	3
21601387	1436653	4	4
21601387	1437379	3	3
21601387	1464774	4	4
21601387	1464777	5	6
21601387	1464824	4	4
21601387	1464825	4	5
21601387	1464831	4	5
21601387	1464836	5	6
21601387	1464889	5	6
21601387	1464891	5	6
21601387	1464961	4	4
21601387	1464969	5	6
21601387	1465040	4	4
21601387	1465043	4	4
21601387	1465048	4	5
21601387	1465053	4	5
21601387	1465058	4	4
21601387	1465061	5	6
21601387	1465063	4	4
21601387	1465095	4	4
21601387	1465260	4	4
21601387	1465262	4	5
21601387	1465266	4	4
21601387	1465268	4	5
21601387	1465269	5	6
21601387	1465312	4	5
21601387	1465521	4	5
21601387	1465534	4	5
21601387	1465647	4	4
21601387	1465652	4	5
21601387	1465712	4	4
21601387	1465714	4	4
21601387	1465716	4	4
21601387	1465732	4	4
21601387	1465766	4	4
21601387	1465768	5	6
21601387	1465942	4	4
21601387	1466047	5	6
21601387	1466105	5	6
