concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
37169372,Primary squamous cell carcinoma of skin of bilateral shoulders,Condition,SNOMED,Disorder,S,15949581000119103,20230731,20991231,
37169373,Malignant melanoma of skin of bilateral hips,Condition,SNOMED,Disorder,S,15950741000119109,20230731,20991231,
37169374,Malignant melanoma of skin of left breast,Condition,SNOMED,Disorder,S,15950821000119109,20230731,20991231,
37169375,Malignant melanoma of skin of right breast,Condition,SNOMED,Disorder,S,15950861000119104,20230731,20991231,
37169376,Bilateral malignant melanoma of skin of shoulders,Condition,SNOMED,Disorder,S,15951101000119104,20230731,20991231,
37169377,Melanoma in situ of skin of left breast,Condition,SNOMED,Disorder,S,15951341000119104,20220331,20991231,
37169378,Bilateral melanoma in situ of skin of breasts,Condition,SNOMED,Disorder,S,15951381000119109,20220331,20991231,
37169379,Melanoma in situ of skin of right breast,Condition,SNOMED,Disorder,S,15951421000119100,20220331,20991231,
37169380,Bilateral melanoma in situ of upper limbs,Condition,SNOMED,Disorder,S,15951461000119105,20220430,20991231,
37169383,Bilateral primary malignant neoplasm of undescended testes,Condition,SNOMED,Disorder,S,15955381000119106,20230731,20991231,
37169402,Bilateral primary malignant neoplasm of lacrimal glands,Condition,SNOMED,Disorder,S,15977391000119102,20230731,20991231,
37169404,Bilateral orbital primary malignant neoplasm,Condition,SNOMED,Disorder,S,15977471000119105,20230731,20991231,
37169407,Bilateral malignant melanoma of conjunctivas,Condition,SNOMED,Disorder,S,15977711000119107,20230731,20991231,
37169408,Bilateral malignant melanoma of retinas,Condition,SNOMED,Disorder,S,15977871000119107,20230731,20991231,
37169635,JAK2-positive PV (polycythaemia vera),Condition,SNOMED,Disorder,S,1659461000000103,20230412,20991231,
37169636,JAK2-negative PV (polycythaemia vera),Condition,SNOMED,Disorder,S,1659471000000105,20230412,20991231,
37169706,Melanoma in situ of cheek,Condition,SNOMED,Disorder,S,16764101000119100,20220331,20991231,
37169709,Melanoma in situ of nose,Condition,SNOMED,Disorder,S,16782651000119104,20220331,20991231,
37169710,Melanoma in situ of chin,Condition,SNOMED,Disorder,S,16782691000119109,20220331,20991231,
37169711,Melanoma in situ of forehead,Condition,SNOMED,Disorder,S,16782731000119102,20220430,20991231,
37169712,Melanoma in situ of temple,Condition,SNOMED,Disorder,S,16782771000119104,20220430,20991231,
37169734,Primary squamous cell carcinoma of skin of chest,Condition,SNOMED,Disorder,S,16899901000119104,20220430,20991231,
37169737,Malignant melanoma of skin of right lower eyelid,Condition,SNOMED,Disorder,S,16905181000119102,20230731,20991231,
