TEST_NAME,RESULT_UOM_NM,count
ESR (ESR | CDR SSHCC HEM LRR),mm/Hr,1
ESTRNM (ESTRONE),pg/mL,1
ESTUCO (ESTRIOL UNCONJUGATE),ng/mL,1
FE (IRON | CDR CRMA LAB LLR),ug/dL,1
FER (FERRITIN | CDR SSHCC LAB LRR),ng/ml,1
NRBCA (NUCLEATED RBC (AUTO) | CDR EHS HEM LRR),/100 WBC,1
OSM (OSMOLALITY),mosm,1
"OSM (OSMOLALITY, S)",mOsm/kg,1
MGLU (MEAN BLOOD GLUCOSE | CDR SSHCC LAB LRR),mg/dL,1
MGLU (MEAN GLUCOSE | CDR CRMA LAB LLR),mg/dL,1
MHGB (METHGB),%,1
MLYRF2 (IGG WEST BLOT BANDS),band,1
MLYRF3 (IGG BANDS (KDA)),kDa,1
MLYRF4 (IGM WEST BLOT BANDS),band,1
MLYRF5 (IGM BANDS (KDA)),kDa,1
MON (MONO %),%,1
TSH (TSH WITH THYROID CASCADE | CDR EHS LAB LRR),uIU/mL,1
TSH (TSH | CDR SSHCC LAB LRR),uIU/ml,1
TSH3 (THYROID STIMULATING HORMONE),mIU/L,1
TT (THROMBIN TIME),sec.,1
TUTP (URINE PROTEIN | CDR MRMC LAB LRR),mg/24HR,1
"B12BCP (B12 BIND CAP, UNSAT)",pg/mL,1
B12BCP (VIT B12 BINDING CAP),pg/mL,1
"B12USAT (B12 BIND CAP, UNSAT)",pg/mL,1
GAMMEP (GAMMA-GLOBULIN),g/dL,1
GFR (EGFR | CDR NSMC LAB LRR),ml/min/1.73 sq meter,1
ALYMPH (LYMPHOCYTES ABSOLUTE MANUAL),10*3/uL,1
ALYMPHS (LYMPH# | CDR CRMA HEM LRR),K/uL,1
AMETAS (METAMYELOCYTES ABSOLUTE),10*3/uL,1
AMONO (MONOCYTES ABSOLUTE MANUAL),10*3/uL,1
MONOCLP (MONOCLONAL PROTEIN),g/dL,1
FESAT (FE SATURATION PERCENT),%,1
MVP (MEAN PLATELET VOLUME | CDR MVH HEM LRR),fL,1
NACHR (ACH GANGLIONIC NEURONAL AB),nmol/L,1
NCLOMP (NORCLOMIPRAMINE),ng/mL,1
NEUT (NEUT %),%,1
NONHDL (NON-HDL CHOLESTEROL | CDR EHS LAB LRR),mg/dL,1
EOSP (EOS %),%,1
GAMMEP (GAMMA),g/dL,1
GAMMEP (GAMMA-GLOBULIN),%,1
UALBP (ALBUMIN),%,1
UALBP (ALBUMIN),mg/dL,1
UASAMOR (AMORPHOUS SED),per HPF,1
HCT (HEMATOCRIT | CDR MVH HEM LRR),%,1
"HDL (CHOLESTEROL, HDL | CDR CRMA LAB LLR)",mg/dL,1
HDL (HDL CHOLESTEROL | CDR EHS LAB LRR),mg/dL,1
HDL (HDL-CHOLESTEROL (DIRECT) | CDR SSHCC LAB LRR),mg/dL,1
HG (BLD MERCURY),ng/mL,1
MCH (MEAN CORPUSCULAR HEMOGLOBIN | CDR MVH HEM LRR),pg,1
MCHC (MEAN CORPUSCULAR HGB CONC | CDR MVH HEM LRR),g/dl,1
MCV (MEAN CELL VOLUME | CDR MVH HEM LRR),fL,1
BANDS (BAND %),%,1
BUN (BUN | CDR NSMC LAB LRR),MG/DL,1
U5HIAAR (5-HIAA),mg/g creat,1
UA1GP (ALPHA-1 GLOBULIN),mg/dL,1
UA2G (ALPHA-2 GLOBULIN),mg/dL,1
GLOB (GLOBULIN | CDR MRMC LAB LRR),gm/dL,1
GLOB (GLOBULIN | CDR QUEST LAB LRR),g/dL (calc),1
GLU (GLUCOSE | CDR NSMC LAB LRR),MG/DL,1
GLUCAG (GLUCAGON),pg/mL,1
GLUPOC (FINGERSTICK GLUCOSE),mg/dL,1
GLUPOC (GLUCOSE (POC)),mg/dL,1
GRMALB (URINE RANDOM MICROALBUMIN | CDR MRMC LAB LRR),mg/dL,1
HAP (HAPTOGLOBIN | CDR SSHCC LAB LRR),MG/DL,1
MONO (MONOCYTES PERCENT MANUAL),%,1
ALT (ALT(SGPT)),U/L,1
ALYMP (ABS  LYMP),10*3/uL,1
FTES (FREE TESTOSTERONE | CDR MRMC LAB LRR),PG/ML,1
FXI (FACTOR XI),%,1
GGT (GGT (U/L)),U/L,1
GHBA1C (%HGBA1C | CDR CRMA LAB LLR),%,1
GHBA1C (GLYCOHEMOGLOBIN (A1C) | CDR SSHCC LAB LRR),%,1
IGA (IMMUNOGLOBULIN A),mg/dL,1
IGAKAPPA (M-PROTEIN AK),g/dL,1
IGALAMDA (M-PROTEIN AL),g/dL,1
IMMLYM (ATL PCT MANUAL),%,1
"INTERL10 (IL-10, SERUM)",pg/mL,1
INTERL13 (INTERLEUKIN 13),pg/mL,1
INTERL4 (INTERLEUKIN 4),pg/mL,1
"INTERL6 (INTERLEUKIN-6, SERUM)",pg/mL,1
LIPS (LIPASE | CDR MRMC LAB LRR),U/L,1
LK1 (LIVER-KIDNEY MICROSOMAL AB),U,1
UASMUC (MUCUS),per HPF,1
UASSQUA (URINE SQUAMOUS EPITHELIALS | CDR EHS HEM LRR),/LPF,1
UASTRAN (TRANSITIONAL EPITHELIAL CELLS | CDR EHS HEM LRR),/LPF,1
UAUROBI (URINE UROBILINOGEN | CDR MRMC HEM LRR),MG/DL,1
UBETAG (BETA GLOBULIN),mg/dL,1
"UBILI (BILIRUBIN, INDIRECT | CDR QUEST LAB LRR)",mg/dL (calc),1
LDH (LDH | CDR EHS LAB LRR),U/L,1
LDL (LDL CHOLESTEROL (CALC)),mg/dl,1
LDL (LDL CHOLESTEROL | CDR EHS LAB LRR),mg/dL,1
LDLCAL (LDL-CHOLESTEROL (CALC) | CDR SSHCC LAB LRR),mg/dL,1
LDLCAL (LDLC | CDR CRMA LAB LLR),mg/dL,1
LDLDIR (LDL CHOLESTEROL DIRECT),mg/dL,1
"LEAD (LEAD,B)",mcg/dL,1
LFLC (LAMBDA QNT FREE LIGHT CHAINS),mg/L,1
LYMP (LYMP %),%,1
LYMPH (LYMPH PCT MAN),%,1
MAGABM (MAG AB IGM),titer,1
MALBCRE (MICROALB/CREAT(480)),ug/mg creat,1
MALBCRE (URINE MICROALBUMIN/CREATININE RATIO | CDR MRMC LAB LRR),ug/mg Cr,1
GFRCYSTATINC (EGFR (CYSTATIN C)),mL/min/BSA,1
LAMBIGG (M-PROTEIN GL),g/dL,1
LDH (LACTATE DEHYDROGENASE | CDR MRMC LAB LRR),U/L,1
UTMET (TU METANEPHRINE),ug/24h,1
UTNMT (TU NORMETANEPHRINE),ug/24h,1
UTP (URINE PROTEIN | CDR MRMC LAB LRR),mg/dL,1
VITD3125DOH (1 25 DIHYDROXY VITAMIN D),pg/mL,1
UUNA (URINE SODIUM),mmol/L,1
3OHBT (BETA HYDROXYBUTYRATE),mmol/L,1
VARIGG (VARICELLA IGG),EIU,1
"VIP (VIP, PLASMA)",pg/mL,1
IGM (IGM | CDR SSHCC LAB LRR),MG/DL,1
UOSM (OSMOLALITY URINE),mosm,1
"UOSM (OSMOLALITY, U)",mosm/kg,1
UOSM (URINE OSMOLALITY | CDR EHS LAB LRR),mOsm/kg,1
URAC (URIC ACID CRYSTALS),/HPF,1
URIC (URIC ACID | CDR CRMA LAB LLR),mg/dL,1
URKLCF (URINE FREE KAPPA LIGHT CHAINS 24 HR | CDR MRMC LAB LRR),mg/L,1
"UT24 (URN PROTEIN, mg/24hr)",mg/24hr,1
YO2ABTITR (PCA-2),titer,1
IGG,mg/dL,1
IGG (IGG | CDR SSHCC LAB LRR),MG/DL,1
IGG1,mg/dl,1
IGG2,mg/dl,1
IGG3,mg/dl,1
IGG4,mg/dl,1
IGM,mg/dL,1
HISTCOM (UR HISTOPL AG NOTE),ng/mL,1
HIV1RNA (HIV-1 RNA QUANT),COPIES/ML,1
HIV1RNA (HIV-1 RNA QUANT),copies/mL,1
HWT (HARVEST WEIGHT (KG)),KG,1
IGA (IGA | CDR SSHCC LAB LRR),MG/DL,1
WBC (WHITE BLOOD CELL COUNT),10*3/uL,1
WBC (WHITE BLOOD COUNT | CDR MVH HEM LRR),K/mm3,1
YO1ABTITR (PCA-1),titer,1
RDW (RED CELL DISTRIBUTION WIDTH | CDR MVH HEM LRR),%,1
CL (CHLORIDE | CDR NSMC LAB LRR),MMOL/L,1
CLDH (CSF LDH),U/L,1
CLOM (CLOMIPRAMINE),ng/mL,1
CLOMIP (CLOMIP + NORCLOMIP),ng/mL,1
CO2 (CARBON DIOXIDE | CDR NSMC LAB LRR),MEQ/L,1
CO2 (CARBON DIOXIDE),mEq/L,1
COLHR3 (COLLECTION DURATION),mL,1
UTVOL (URINE TOTAL VOLUME | CDR MRMC LAB LRR),mL,1
AGRTO (ALBUMIN/GLOBULIN RATIO | CDR QUEST LAB LRR),(calc),1
ALB (ALBUMIN | CDR NSMC LAB LRR),g/dL,1
ALB (ALBUMIN | CDR QUEST LAB LRR),g/dL,1
ALB (ALBUMIN),gm/dL,1
ALDOLM (ALDOLASE),U/L,1
RBC (RED BLOOD CELL COUNT | CDR MVH HEM LRR),M/mm3,1
RCAST (RBC CAST),/lpf,1
VK (URINE POTASSIUM (ADULT)(May be),mmol/L,1
VTMNB6 (VITAMIN B6),ug/L,1
AATYPS (ATYPICAL LYMPH ABSOLUTE MAN),10*3/uL,1
ABANDS (BANDS ABSOLUTE MANUAL),10*3/uL,1
ABASO (BASOPHILS ABS MANUAL),10*3/uL,1
ABASOS (BASO# | CDR CRMA HEM LRR),K/uL,1
ABLAST (BLASTS ABSOLUTE),10*3/uL,1
UTTOTM (TU TOTAL METANEPHRINE),ug/24h,1
VISC (VISCOSITY),CPOISE,1
"VISC (VISCOSITY, SERUM)",cpoise,1
"VISC (VISCOSITY,SERUM)",rel to H2O,1
VITC (VITAMIN C),mg/dL,1
"VITDDOH (1,25 DIHYDROXYVITAMIN D)",pg/mL,1
VITDT (25 (OH)VITAMIN D TOTAL),ng/mL,1
VITDT (VITAMIN D (25-HYDROXY) | CDR SSHCC LAB LRR),ng/ml,1
"VITDT (VITAMIN D, 25 HYDROXY)",ng/mL,1
