SITE_ID,MEASUREMENT_CONCEPT_ID,MEASUREMENT_CONCEPT_NAME,MEASUREMENT_CONCEPT_CODE,MEASUREMENT_VOCABULARY_ID,MEASUREMENT_DOMAIN_ID,MEASUREMENT_STANDARD_CONCEPT,UNIT_CONCEPT_ID,UNIT_CONCEPT_NAME,UNIT_CONCEPT_CODE,UNIT_VOCABULARY_ID,UNIT_DOMAIN_ID,UNIT_STANDARD_CONCEPT,RECORD_COUNT,MEASUREMENT_RECORD_TOTAL,PCT_RECORD_WITHIN_MEASUREMENT,PERSON_COUNT,MEASUREMENT_PERSON_TOTAL,PCT_PERSON_WITHIN_MEASUREMENT,Date Unit Query Run
DFCI,3012030,MCH [Entitic mass] by Automated count,785-6,LOINC,Measurement,S,8704,picogram per cell,pg/{cell},UCUM,Unit,S,29,4913079,0.0006,25,241249,0.0104,9/22/2025
DFCI,3012030,MCH [Entitic mass] by Automated count,785-6,LOINC,Measurement,S,8713,gram per deciliter,g/dL,UCUM,Unit,S,2,4913079,0,2,241249,0.0008,9/22/2025
FH,3012030,MCH [Entitic mass] by Automated count,785-6,LOINC,Measurement,S,8713,gram per deciliter,g/dL,UCUM,Unit,S,2,2139658,0.0001,2,138189,0.0014,9/19/2025
FH,3012888,Diastolic blood pressure,8462-4,LOINC,Measurement,S,0,(NULL/0),null,null,null,null,13241155,29242946,45.2798,187088,188121,99.4509,9/19/2025
DFCI,3012888,Diastolic blood pressure,8462-4,LOINC,Measurement,S,8876,millimeter mercury column,mm[Hg],UCUM,Unit,S,35085115,35085115,100,321131,321131,100,9/22/2025
JH,3012888,Diastolic blood pressure,8462-4,LOINC,Measurement,S,8876,millimeter mercury column,mm[Hg],UCUM,Unit,S,13143704,13143704,100,138797,138797,100,9/19/2025
FH,3012888,Diastolic blood pressure,8462-4,LOINC,Measurement,S,8876,millimeter mercury column,mm[Hg],UCUM,Unit,S,16001791,29242946,54.7202,76058,188121,40.4304,9/19/2025
MSKCC,3012888,Diastolic blood pressure,8462-4,LOINC,Measurement,S,8876,millimeter mercury column,mm[Hg],UCUM,Unit,S,24173203,24173203,100,349819,349819,100,9/22/2025
DFCI,3013115,Eosinophils [#/volume] in Blood,26449-9,LOINC,Measurement,S,0,(NULL/0),,,,,41,3309643,0.0012,34,209253,0.0162,9/22/2025
DFCI,3013115,Eosinophils [#/volume] in Blood,26449-9,LOINC,Measurement,S,8784,cells per microliter,{cells}/uL,UCUM,Unit,S,9285,3309643,0.2805,2294,209253,1.0963,9/22/2025
DFCI,3013115,Eosinophils [#/volume] in Blood,26449-9,LOINC,Measurement,S,8848,thousand per microliter,10*3/uL,UCUM,Unit,S,3293426,3309643,99.51,208461,209253,99.6215,9/22/2025
