concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
21058885	45 ML Carboplatin 10 MG/ML Injection by Sun	Drug	RxNorm Extension	Marketed Product	S	OMOP317626	20170824	20991231	
21117774	45 ML Carboplatin 10 MG/ML Injection by Accord	Drug	RxNorm Extension	Marketed Product	S	OMOP317627	20170824	20991231	
21049132	45 ML Carboplatin 10 MG/ML Injection by Hospira	Drug	RxNorm Extension	Marketed Product	S	OMOP317628	20170824	20991231	
21098181	45 ML Carboplatin 10 MG/ML Injection by Pliva	Drug	RxNorm Extension	Marketed Product	S	OMOP317629	20170824	20991231	
21098182	45 ML Carboplatin 10 MG/ML Injection by A A H	Drug	RxNorm Extension	Marketed Product	S	OMOP317630	20170824	20991231	
21049133	45 ML Carboplatin 10 MG/ML Injection by TEVA	Drug	RxNorm Extension	Marketed Product	S	OMOP317631	20170824	20991231	
21029457	45 ML Carboplatin 10 MG/ML Injection by Wockhardt	Drug	RxNorm Extension	Marketed Product	S	OMOP317632	20170824	20991231	
21029458	45 ML Carboplatin 10 MG/ML Injection Box of 1	Drug	RxNorm Extension	Quant Clinical Box	S	OMOP317633	20170824	20991231	
21078574	45 ML Carboplatin 10 MG/ML Injection Box of 1 by Sun	Drug	RxNorm Extension	Marketed Product	S	OMOP317634	20170824	20991231	
21058886	45 ML Carboplatin 10 MG/ML Injection Box of 1 by Accord	Drug	RxNorm Extension	Marketed Product	S	OMOP317635	20170824	20991231	
21108024	45 ML Carboplatin 10 MG/ML Injection Box of 1 by Hospira	Drug	RxNorm Extension	Marketed Product	S	OMOP317637	20170824	20991231	
21058887	45 ML Carboplatin 10 MG/ML Injection Box of 1 by Pliva	Drug	RxNorm Extension	Marketed Product	S	OMOP317638	20170824	20991231	
21068819	45 ML Carboplatin 10 MG/ML Injection Box of 1 by A A H	Drug	RxNorm Extension	Marketed Product	S	OMOP317639	20170824	20991231	
21058888	45 ML Carboplatin 10 MG/ML Injection Box of 1 by TEVA	Drug	RxNorm Extension	Marketed Product	S	OMOP317640	20170824	20991231	
21039319	45 ML Carboplatin 10 MG/ML Injection Box of 1 by Wockhardt	Drug	RxNorm Extension	Marketed Product	S	OMOP317641	20170824	20991231	
21147288	50 ML Cisplatin 1 MG/ML Injection	Drug	RxNorm Extension	Quant Clinical Drug	S	OMOP318460	20170824	20991231	
21147289	50 ML Cisplatin 1 MG/ML Injection by Accord	Drug	RxNorm Extension	Marketed Product	S	OMOP318463	20170824	20991231	
21147290	50 ML Cisplatin 1 MG/ML Injection by Hospira	Drug	RxNorm Extension	Marketed Product	S	OMOP318464	20170824	20991231	
21058953	50 ML Cisplatin 1 MG/ML Injection by Alliance	Drug	RxNorm Extension	Marketed Product	S	OMOP318465	20170824	20991231	
21157295	50 ML Cisplatin 1 MG/ML Injection by A A H	Drug	RxNorm Extension	Marketed Product	S	OMOP318466	20170824	20991231	
21167034	50 ML Cisplatin 1 MG/ML Injection by TEVA	Drug	RxNorm Extension	Marketed Product	S	OMOP318467	20170824	20991231	
21078635	50 ML Cisplatin 1 MG/ML Injection by Wockhardt	Drug	RxNorm Extension	Marketed Product	S	OMOP318468	20170824	20991231	
21137458	50 ML Cisplatin 1 MG/ML Injection Box of 1	Drug	RxNorm Extension	Quant Clinical Box	S	OMOP318469	20170824	20991231	
